setup_key,task,selector,mean_selected_q,modal_selected_q,exact_variance,expected_cost,realized_cost,estimator_variance,coverage_variance_pp2,coverage_mse_pp2,fixed_median_exact_variance,exact_variance_ratio_to_median
autoif_qwen,lpb,deployment_oracle,0.58,0.3,0.0075819492652171,18.91267638657342,18.904666666666664,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,0.00811796473592736,0.9339716926413787
autoif_qwen,lpb,fixed_median,0.5,0.5,0.00811796473592736,18.94553352707317,18.925266666666666,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,0.00811796473592736,1.0
autoif_qwen,lpb,phase1_erm,0.6,0.6,0.00823836252982902,18.922529624778587,18.932266666666663,5.8000000000138206e-06,1.6363333333333347,1.3286666666666682,0.00811796473592736,1.0148310318926146
autoif_qwen,metric,deployment_oracle,0.38,0.1,6.6797938121095815,19.78279783528807,19.690999999999995,0.0005829188093437626,,,6.7640685084743435,0.9875408274976549
autoif_qwen,metric,fixed_median,0.5,0.5,6.7640685084743435,19.497383069202137,19.220533333333332,0.0011418286560946527,,,6.7640685084743435,1.0
autoif_qwen,metric,phase1_erm,0.58,0.6,6.805054835109539,19.432724851530963,19.311933333333332,0.0006076861438482425,,,6.7640685084743435,1.0060594192066277
hallucination_qwen,lpb,deployment_oracle,0.24000000000000005,0.1,2.394905508474999e-13,19.400403747598727,19.359466666666666,3.6444444446097943e-06,0.2831111111111094,0.2286666666666651,2.3951650539465337e-13,0.9998916377511825
hallucination_qwen,lpb,fixed_median,0.5,0.5,2.3951650539465337e-13,19.39813794049452,19.363533333333333,3.6444444446097943e-06,0.2831111111111094,0.2286666666666651,2.3951650539465337e-13,1.0
hallucination_qwen,lpb,phase1_erm,0.22000000000000003,0.1,2.3951650539465337e-13,19.39351748634352,19.360866666666666,3.6444444446097943e-06,0.2831111111111094,0.2286666666666651,2.3951650539465337e-13,1.0
hallucination_qwen,metric,deployment_oracle,0.54,0.8,1.9744910154310247,23.68438318567064,23.594199999999997,0.0003803070612929036,,,2.0186193805733383,0.9781393334637557
hallucination_qwen,metric,fixed_median,0.5,0.5,2.0186193805733383,23.486974654566055,23.25953333333333,0.0006708388408765823,,,2.0186193805733383,1.0
hallucination_qwen,metric,phase1_erm,0.38,0.5,2.037525273082017,23.332862868115086,23.068066666666663,0.0006609633539025326,,,2.0186193805733383,1.0093657539854337
red_qwen,lpb,deployment_oracle,0.36,0.1,4.531646169425585e-13,18.936357743263393,19.095999999999997,6.333333333332488e-07,0.92944444444444,0.8335555555555573,4.532039928524985e-13,0.9999131165864358
red_qwen,lpb,fixed_median,0.5,0.5,4.532039928524985e-13,18.94896851345998,19.167666666666666,6.333333333332488e-07,0.92944444444444,0.8335555555555573,4.532039928524985e-13,1.0
red_qwen,lpb,phase1_erm,0.3,0.3,4.532039928524985e-13,18.946927343798855,19.096733333333333,6.333333333332488e-07,0.92944444444444,0.8335555555555573,4.532039928524985e-13,1.0
red_qwen,metric,deployment_oracle,0.4,0.6,10.239223769325545,19.15781170718072,19.269133333333333,0.00017082873278609494,,,10.453552300577403,0.9794970623297097
red_qwen,metric,fixed_median,0.5,0.5,10.453552300577403,18.847366180612358,18.8116,6.089663991870714e-05,,,10.453552300577403,1.0
red_qwen,metric,phase1_erm,0.44000000000000006,0.4,10.427075975402184,18.834613832746793,19.110666666666667,0.0001186746462343817,,,10.453552300577403,0.9974672413344355
toxicity_qwen,lpb,deployment_oracle,0.64,0.9,0.2230777954989281,19.386046426054175,19.2748,2.117587063398525e-07,0.3103333333333345,0.4851111111111127,0.24732280168412468,0.9019701943367042
toxicity_qwen,lpb,fixed_median,0.5,0.5,0.24732280168412468,19.414324049775665,19.349866666666664,2.0416824602725027e-07,0.3103333333333345,0.4851111111111127,0.24732280168412468,1.0
toxicity_qwen,lpb,phase1_erm,0.38,0.1,0.28491397617316094,19.42014923633611,19.3714,2.194535889276957e-07,0.3103333333333345,0.4851111111111127,0.24732280168412468,1.1519923526381806
toxicity_qwen,metric,deployment_oracle,0.6,0.9,7.119309453238242,19.99133980736717,20.187066666666663,0.0008364611288888931,,,7.39280072512822,0.9630057292143183
toxicity_qwen,metric,fixed_median,0.5,0.5,7.39280072512822,19.165196822374874,19.360666666666667,0.000667409042032876,,,7.39280072512822,1.0
toxicity_qwen,metric,phase1_erm,0.5,0.5,7.3920102253615765,19.084835535219792,19.552133333333334,0.0006505371003944963,,,7.39280072512822,0.9998930716793222
